,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,Supported,No former experience stated.,2020-08-25,Pam Bondi,Speech at The Republican National Convention,US
1,Donald Trump delivered the largest tax cuts in American history.,Refuted,Three tax bills have been larger than that of Donald Trump,2020-08-25,Eric Trump,Speech at The Republican National Convention,US
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.",Supported,The answer and source shows that the claim is supported as the percentage to local government is the same.,2020-08-25,Raila Odinga,YouTube,KE
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,Supported,"This claim should have been split into two parts, as it is quite confusing. As for the first part, the label is supported as he did say that he would not build more of the wall. As for the 2nd part, it is more tricky, as he would allow health care access to immigrants, but it does not necessarily mean they'd get access to healthcare. Therefore, the claim is supproted",2020-08-25,Eric Trump,Speech at The Republican National Convention,US
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",Refuted,Governor Evers did call for peace in a video statement on planned protests. ,2020-08-25,Senator Howard Marklein,Facebook,US
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned",Refuted,The answer and credible source show that the claim was a hoax and so the claim is refuted.,2020-08-25,Abhijeet Verma,Social Media,IN
6,35% of revenue goes to states. (In Nigeria),Refuted,The answer shows that 26.72% goes to states so the claim is refuted.,2020-08-25,Raila Odinga,YouTube,KE
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,Conflicting Evidence/Cherrypicking,"Evidence is conflicting with Margaret Sanger, as she was a progressive who believed in racial integration. She voted for Norman Thomas. She worked with progressive Black people—W.E.B. Du Bois, for example, who, along with Mary McCleod Bethune and Adam Clayton Powell Sr., served on the board of the Negro Project, a network of birth control and maternal health clinics Sanger established in Harlem and the South, etc. However, it does seem that Sanger believed in eugenics and thought people, especially poor people, often had too many kids to care for properly and that too many of those kids were born physically disabled (or, in the language of the day, ""feeble-minded""). She did not oppose forced sterilization.",2020-08-25,Abby Johnson,Speech at The Republican National Convention,US
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.",Conflicting Evidence/Cherrypicking,The Q&A Pairs Indicate he supported 2 of the 3 conflicts.,2020-08-25,Senator Rand Paul,Speech at The Republican National Convention,US
9,Biden will take away the Second Amendment.,Refuted,Biden does not want to end second amendment,2020-08-25,Eric Trump,Speech at The Republican National Convention,US
10,Biden has pledged to defund the police,Refuted,"There is not too much information in the Q&As but from the one answer, Joe Biden refutes the claim. ",2020-08-25,Eric Trump,Speech at The Republican National Convention,US
11,45% of Nigeria's revenue goes to the federal government.,Refuted,"It seems from the 1st and 3rd QA, that a lot more goes to the federal government, therefore the claim is refuted",2020-08-25,Raila Odinga,YouTube,KE
12,Donald Trump inherited a stagnant economy and then rebuilt it.,Conflicting Evidence/Cherrypicking,QA pairs state the  US economy was downgraded and then grew under trump while another states trump inherited the longest expanding economy from obama.,2020-08-25,Larry Kudlow,Speech at The Republican National Convention,US
13,"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.",Supported,"Q&A's 1, 3, 5 and 6 show that Yes as claimed Joe Biden did vote for wars in Iraq, Serbia, Syria, and Libya.",2020-08-25,Sen. Rand Paul,,US
14,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,Supported,The answers and sources show that the police can arrest without a warrant and therefore the claim is supported.,2020-08-24,Wanazila (@wana_),Twitter,NG
15,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,Refuted,It seems from the Q&A that there is no evidence of DNA restructuring itself through saliva so the claim is refuted. ,2020-08-24,AFP,Facebook,NZ
16,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,Refuted,"From the evidence below, it looks like the revenue for 2017 actually fell (by 1.6 percent in real inflation-adjusted terms) when taxes were lowered in the same year. ",2020-08-24,Tim Scott,ABC,US
17,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,Supported,"True, FBI statistics and a national database show that checks out: In 2019, police killed 999 people, and 48 officers were killed by a criminal act in the line of duty.
We rate Larson’s claim True. ",2020-08-24,"US state Senator Chris Larson, Democrat, Milwaukee",Facebook post,US
18,"A greater proportion of 16 year olds vote in elections in Scotland, Wales and Austria than 18 and 20 year olds.",Conflicting Evidence/Cherrypicking,"Only QA 2 confirms the rate of voting was higher for 16-17 year olds in Scotland.
QA 1 says 16-17 year olds in Austria vote more than older first time voters without stating what age the ‘older’ voters are.
QA 3 implies 16-17 year olds in Wales could not vote at the time the claim was made, therefore the claim could not be true for Wales.",2020-08-24,Sophie Crozier,,NZ
19,Donald Trump has kept his promises to voters,Conflicting Evidence/Cherrypicking,QA pairs state promises kept and not kept. Claim does not state he kept all promises.,2020-08-24,,,US
20,The Edo Modular Refinery is Governor Obaseki's project.,Refuted,"The refinery, Edo Refinery and Petrochemical Limited is “fully owned and developed” by AIPCC Energy Limited.",2020-08-24,PDP Nigeria,Twitter,NG
21,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,Not Enough Evidence,The answers do not support or refute the claim as there is no evidence to look at in reference to the claim.,2020-08-23,David Maraga ,Youtube: NTV Kenya,KE
22,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.",Supported,It works out to be approximately correct,2020-08-23,David Maraga,NTV Kenya,KE
23,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Not Enough Evidence,"From the question and answer pairs, there is not enough evidence to label the claim. Therefore, it is not enough evidence.",2020-08-23,David Maraga ,Youtube: NTV Kenya,KE
24,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested",Conflicting Evidence/Cherrypicking,"One study shows anxiety dropping amongst young teenagers, but another study shows it depends on age and whether child will be receiving exam results.",2020-08-23,,Media Outlets,
